"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
psrs,Yes,90,2,10000000,1.000000e+07,0.358967,0.051803,0.257934,0.431080
psrs,Yes,91,2,10000000,1.000000e+07,0.357699,0.034767,0.320709,0.425566
psrs,Yes,92,2,10000000,1.000000e+07,0.342366,0.039546,0.257888,0.414964
psrs,Yes,93,2,10000000,1.000000e+07,0.342377,0.046444,0.263942,0.409828
psrs,Yes,94,2,10000000,1.000000e+07,0.350351,0.058669,0.266512,0.451734
psrs,Yes,95,2,10000000,1.000000e+07,0.341362,0.055177,0.249409,0.419550
psrs,Yes,96,2,10000000,1.000000e+07,0.351819,0.083782,0.222607,0.493488
psrs,Yes,97,2,10000000,1.000000e+07,0.368322,0.062162,0.274431,0.484138
psrs,Yes,98,2,10000000,1.000000e+07,0.368971,0.042153,0.314123,0.436444
psrs,Yes,99,2,10000000,1.000000e+07,0.365017,0.075608,0.214535,0.511687
psrs,Yes,100,2,10000000,1.000000e+07,0.366659,0.037748,0.310315,0.431796
psrs,Yes,101,2,10000000,1.000000e+07,0.360830,0.042983,0.297328,0.450820
psrs,Yes,102,2,10000000,1.000000e+07,0.364969,0.046118,0.275328,0.440186
psrs,Yes,103,2,10000000,1.000000e+07,0.373606,0.044885,0.277095,0.439041
psrs,Yes,104,2,10000000,1.000000e+07,0.369470,0.057656,0.272317,0.471482
psrs,Yes,105,2,10000000,1.000000e+07,0.367564,0.062410,0.267433,0.480878
psrs,Yes,106,2,10000000,1.000000e+07,0.382689,0.046681,0.320637,0.488901
psrs,Yes,107,2,10000000,1.000000e+07,0.380198,0.028363,0.321987,0.427767
psrs,Yes,108,2,10000000,1.000000e+07,0.382767,0.044641,0.303989,0.453427
psrs,Yes,109,2,10000000,1.000000e+07,0.362548,0.040622,0.300801,0.423712
psrs,Yes,110,2,10000000,1.000000e+07,0.383750,0.057387,0.303900,0.510240
psrs,Yes,111,2,10000000,1.000000e+07,0.376389,0.058708,0.271060,0.506936
psrs,Yes,112,2,10000000,1.000000e+07,0.381282,0.053798,0.289557,0.438599
psrs,Yes,113,2,10000000,1.000000e+07,0.386433,0.026923,0.341446,0.426576
psrs,Yes,114,2,10000000,1.000000e+07,0.431197,0.070729,0.313489,0.565198
psrs,Yes,115,2,10000000,1.000000e+07,0.371391,0.046822,0.282311,0.444273
psrs,Yes,116,2,10000000,1.000000e+07,0.398807,0.046254,0.325515,0.467489
